universityName,countryName,programName,studyLevel,campus,duration,openIntakes,intakeYear,entryRequirements,ieltsScore,ieltsNoBandLessThan,pteScore,pteNoBandLessThan,toeflScore,duolingo,gmatScore,greScore,yearlyTuitionFees,currency,applicationDeadline,workExperience,scholarships,careerProspects,accreditation,specializations
Australian National University,Australia,Master of Philosophy in Engineering,Postgraduate,Acton Campus,2 years,"February, July",2024,"First-class honours or equivalent in Engineering",6.5,6.0,64,55,80,,,,$47000,AUD,October 15 2023,,"ANU PhD Scholarships, Government scholarships","Research Engineer, R&D Manager, Technical Consultant, Academic","Engineers Australia","Renewable Energy, Robotics, Materials Engineering, Systems Engineering"
University of Sydney,Australia,Master of Commerce,Postgraduate,Camperdown Campus,2 years,"February, August",2024,"Bachelor's degree with credit average (65%)",6.5,6.0,61,54,85,,550,,$48000,AUD,January 31 2024,,"Merit scholarships, International scholarships","Financial Analyst, Management Consultant, Marketing Manager, Business Analyst","AACSB","Finance, Marketing, Management, Business Analytics, International Business"
Technical University of Munich,Germany,Master of Science in Informatics,Postgraduate,Garching Campus,2 years,"October, April",2024,"Bachelor's in Computer Science or related field with good grades",6.5,6.0,62,55,95,,,,$3000,EUR,May 31 2024,,"DAAD scholarships, TUM Excellence scholarships","Software Engineer, Research Scientist, IT Consultant, Tech Entrepreneur",,"Algorithms, Software Engineering, Machine Learning, Computer Graphics, Robotics"
RWTH Aachen University,Germany,Master of Science in Mechanical Engineering,Postgraduate,Main Campus,2 years,October,2024,"Bachelor's in Mechanical Engineering with above-average grades",6.0,5.5,55,50,80,,,,$3000,EUR,March 15 2024,,"DAAD scholarships, Industry partnerships","Mechanical Engineer, R&D Engineer, Project Manager, Technical Consultant","ASIIN","Automotive Engineering, Manufacturing, Energy Systems, Robotics"
University of Mannheim,Germany,Master of Science in Management,Postgraduate,Mannheim Business School,2 years,September,2024,"Bachelor's degree with above-average performance, GMAT/GRE",6.5,6.0,62,55,95,,600,,$3000,EUR,May 31 2024,1 year preferred,"Excellence scholarships, External funding","Management Consultant, Business Analyst, Product Manager, Strategy Consultant","AACSB, EQUIS","Strategy, Finance, Marketing, Operations, Digital Business"
Trinity College Dublin,Ireland,Master of Science in Computer Science,Postgraduate,Trinity Campus,1 year,September,2024,"Honours degree in Computer Science or related field",6.5,6.0,63,59,88,,,,$25000,EUR,June 30 2024,,"Trinity scholarships, Government grants","Software Engineer, Data Scientist, Cybersecurity Specialist, Tech Lead",,"Software Engineering, Data Science, Cybersecurity, Distributed Systems"
University College Dublin,Ireland,Master of Business Administration,Postgraduate,UCD Smurfit School,1 year,September,2024,"Bachelor's degree, minimum 3 years work experience, GMAT/GRE",6.5,6.0,63,59,90,,550,,$35000,EUR,May 1 2024,3 years required,"Merit scholarships, Alumni scholarships","Senior Manager, Management Consultant, Entrepreneur, Strategy Director","AACSB, EQUIS","Leadership, Strategy, Innovation, Global Business, Entrepreneurship"
NEOMA Business School,France,Master in Management,Postgraduate,"Reims, Rouen Campus",2 years,September,2024,"Bachelor's degree, GMAT/GRE, English proficiency",6.5,6.0,62,55,94,,550,,$18000,EUR,June 15 2024,,"Merit scholarships, Excellence grants","Management Consultant, Business Analyst, Marketing Manager, International Business","AACSB, EQUIS, AMBA","International Business, Digital Marketing, Finance, Luxury Management"
ESSEC Business School,France,Master of Science in Data Sciences & Business Analytics,Postgraduate,Cergy Campus,1 year,September,2024,"Bachelor's degree with strong quantitative background",6.5,6.0,62,55,94,,,,$28000,EUR,June 30 2024,,"Academic excellence scholarships, Diversity scholarships","Data Scientist, Business Analyst, Consultant, Product Manager","AACSB, EQUIS","Data Analytics, Machine Learning, Business Intelligence, Digital Strategy"
Sorbonne University,France,Master in Computer Science,Postgraduate,Pierre and Marie Curie Campus,2 years,September,2024,"Bachelor's in Computer Science or Mathematics with good grades",6.0,5.5,55,50,80,,,,$4000,EUR,April 30 2024,,"Government grants, University scholarships","Software Engineer, Research Scientist, IT Consultant, Data Scientist",,"Algorithms, AI/ML, Systems, Networks, Human-Computer Interaction"
